Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,High-PreClose,PreClose-Low,High-Open,Open-Low,High-Low,PreClose-Open
TATAMOTORS,EQ,8-Sep-17,378.15,381,381.8,374.05,375.1,375.05,377.03,7471355,2816940950,81319,3736346,50.01,3.65,4.1,0.8,6.95,7.75,-2.85
TATAMOTORS,EQ,11-Sep-17,375.05,380,380,374.2,375,375.3,376.77,5402725,2035571939,59463,3622510,67.05,4.95,0.85,0,5.8,5.8,-4.95
TATAMOTORS,EQ,12-Sep-17,375.3,378.7,390,375.5,388.55,388.25,382.86,9266823,3547883700,109246,4921192,53.11,14.7,-0.2,11.3,3.2,14.5,-3.4
TATAMOTORS,EQ,13-Sep-17,388.25,391,393.95,387.2,389.95,389.65,390.91,6537279,2555479907,76859,2284278,34.94,5.7,1.05,2.95,3.8,6.75,-2.75
TATAMOTORS,EQ,14-Sep-17,389.65,390.75,406.6,390.25,403.8,404.4,399.18,11476571,4581218468,107774,4907676,42.76,16.95,-0.6,15.85,0.5,16.35,-1.1
TATAMOTORS,EQ,15-Sep-17,404.4,402.85,406.75,400,402,401.75,402.68,9675506,3896160514,102079,4160621,43,2.35,4.4,3.9,2.85,6.75,1.55
TATAMOTORS,EQ,18-Sep-17,401.75,411.85,413,403.2,404.45,404.95,407.19,8966503,3651065715,99683,3447297,38.45,11.25,-1.45,1.15,8.65,9.8,-10.1
TATAMOTORS,EQ,19-Sep-17,404.95,415,427.7,414,424.25,423.65,421.93,28208471,11901983428,169472,9707530,34.41,22.75,-9.05,12.7,1,13.7,-10.05
TATAMOTORS,EQ,20-Sep-17,423.65,422.75,422.75,413,414.55,414.8,416.02,5179160,2154648951,79257,2151181,41.54,-0.9,10.65,0,9.75,9.75,0.9
TATAMOTORS,EQ,21-Sep-17,414.8,415.4,418.45,408.8,415.5,413.65,413.49,6946502,2872278347,83837,3004894,43.26,3.65,6,3.05,6.6,9.65,-0.6
TATAMOTORS,EQ,22-Sep-17,413.65,414,422.15,408.85,415,411.8,415.83,9781308,4067342744,113677,3285612,33.59,8.5,4.8,8.15,5.15,13.3,-0.35
TATAMOTORS,EQ,25-Sep-17,411.8,413.65,415.3,404.6,407.95,408.2,408.77,6957357,2843972979,76694,3316819,47.67,3.5,7.2,1.65,9.05,10.7,-1.85
TATAMOTORS,EQ,26-Sep-17,408.2,409.4,413.9,403.3,410.65,411.25,410.01,5077291,2081733260,83099,1968380,38.77,5.7,4.9,4.5,6.1,10.6,-1.2
TATAMOTORS,EQ,27-Sep-17,411.25,413.5,414.25,402,407,404.9,406.82,4727360,1923180421,57194,1818141,38.46,3,9.25,0.75,11.5,12.25,-2.25
